,Column1,Column2,Column3
0,@HeadsOrHeadsWeb,@CNN,RT
1,@EmergencyBlog,@EmergencyBlog,Tweet
2,@placeprintnews,@placeprintnews,Tweet
3,@DrRobertGlatter,@bermaninstitute,RT
4,@HillaryKenyon,@CNN,RT
5,@Hillamadz,@CNN,RT
6,@predictech,@CDCgov,RT
7,@NewRoPatch,@NewRoPatch,Tweet
8,@PierreChrist_,@CNN,RT
9,@THilderley,@VIralBuzzNewss,RT
10,@GinaInTheBurg,@AP,RT
11,@HVPatch,@HVPatch,Tweet
12,@RainerKurlemann,@HelenBranswell,RT
13,@ICHLibGH,@ICHLibGH,Tweet
14,@NewCityPatch,@NewCityPatch,Tweet
15,@ChapKiscoPatch,@ChapKiscoPatch,Tweet
16,@BBCWomansHour,@bbcworldservice,RT
17,@alfa_alfio,@alfa_alfio,Tweet
18,@pandrest,@CNN,RT
19,@PChesterPatch,@PChesterPatch,Tweet
20,@alfa_alfio,@alfa_alfio,Tweet
21,@UVAResearchPark,@UVAResearchPark,Tweet
22,@CraigCo62,@CraigCo62,Tweet
23,@lillyvelez28,@nytimes,RT
24,@fratucci,@CNN,RT
25,@SMolloyDVM,@Westxgal,RT
26,@nov_amit,@CNN,RT
27,@MujibG,@MujibG,Tweet
28,@wyorgb,@sciam,RT
29,@NRInstitute,@UniGreenwich,RT
30,@fratucci,@CNN,RT
31,@fratucci,@CNN,RT
32,@ChapKiscoPatch,@ChapKiscoPatch,Tweet
33,@ActivistPost,@ActivistPost,Tweet
34,@bedkatonahpatch,@bedkatonahpatch,Tweet
35,@RivertownsPatch,@RivertownsPatch,Tweet
36,@Lajanz_cong,@Lajanz_cong,Tweet
37,@HarrisonPatch,@HarrisonPatch,Tweet
38,@be2xco,@Harvard,RT
39,@MN_350,@ClimateReality,RT
40,@HeadsOrHeadsWeb,@CNN,RT
41,@MN_350,@ClimateReality,RT
42,@nov_amit,@CNN,RT
43,@BBCWomansHour,@bbcworldservice,RT
44,@HeadsOrHeadsWeb,@CNN,RT
45,@marcioapviana,@CNN,RT
46,@RealTimeHack,@RealTimeHack,Tweet
47,@smith_lassen,@ClimateReality,RT
48,@LakersGold,@CNN,RT
49,@sthi1285,@sthi1285,Tweet
50,@lisabari,@lisabari,Tweet
51,@3NovicesJapan,@3NovicesJapan,Tweet
52,@PierreChrist_,@CNN,RT
53,@MN_350,@ClimateReality,RT
54,@Victoria_Donlin,@CNN,RT
55,@Lajanz_cong,@Lajanz_cong,Tweet
56,@AhmedNumen,@ClimateReality,RT
57,@HarrisonPatch,@HarrisonPatch,Tweet
58,@TraveleadsUK,@TraveleadsUK,Tweet
59,@mepalmeiro,@ClimateReality,RT
60,@francisdias2401,@CNN,RT
61,@HillaryKenyon,@CNN,RT
62,@Hillamadz,@CNN,RT
63,@hakeem_mahak,@kashmir_rise,RT
64,@HarrisonPatch,@HarrisonPatch,Tweet
65,@DrRobertGlatter,@bermaninstitute,RT
66,@UVAResearchPark,@UVAResearchPark,Tweet
67,@coldestwinters,@coldestwinters,Tweet
68,@hakeem_mahak,@kashmir_rise,RT
69,@Victoria_Donlin,@CNN,RT
