,statuses_count,description,friends_count,text,favourites_count,user_id,screen_name,created_at,verified,tweet_id,followers_count,location,following,retweet_count,listed_count
0,21300,● 170714 ● A girl with hormones fluctuate ●,316,"RT @WHO: #Zika 
Q: What can I do to protect myself and my family? 
A: https://t.co/3Fq6lJSQpz
#ZikaVirus https://t.co/rO68F3viKs",211,192907221,shinta_ramadina,Mon Sep 20 13:48:01 +0000 2010,False,693550598927446016,379,Indonesia,316,314,1
1,21300,● 170714 ● A girl with hormones fluctuate ●,316,"RT @WHO: Q: What is #Zika?
A: https://t.co/3Fq6lJSQpz
#ZikaVirus https://t.co/3cUlnQgloR",211,192907221,shinta_ramadina,Mon Sep 20 13:48:01 +0000 2010,False,693550598797398016,379,Indonesia,316,1195,1
2,19529,LET'S TALK ABOUT BRAZIL has problems just like any other country. I just love my country.,8884,"RT @nytimes: Tears and bewilderment in Brazilian city facing Zika crisis
https://t.co/7diQq15Zf5 https://t.co/WuKHmNuJFz",4663,971083928,MyBrazilianSoul,Mon Nov 26 01:00:05 +0000 2012,False,693550590035628032,8932,FORTALEZA - BRAZIL,8884,200,55
3,5963,"Febrile in the Top End ♉ Darwin Buffaloes FC VP - St Kilda FC member
 ⛳ gammon golfer ⛳  RT, follow ≠ endorsement",2102,"Zika virus could be bigger global health threat than Ebola, say health experts https://t.co/XNe0si1B9a",2720,57774693,JoeMartinJard,Fri Jul 17 22:19:56 +0000 2009,False,693550580426346496,925,"Nhulunbuy, Northern Territory",2102,0,19
4,3089,"autonomy & liberty. 
Our day will come",293,"GMO mosquitoes could be cause of Zika outbreak, critics say https://t.co/yXk6VJlZfN",74,397822476,martinarchy,Tue Oct 25 06:13:13 +0000 2011,False,693550577456910338,164,Newcastle,293,0,1
5,3862,Safe and environmentally friendly control of insect pests that spread disease and damage crops. Subsidiary of @Intrexon.,707,Why #mosquito control is the way forward with #Zika #Dengue and other mosquito borne diseases https://t.co/dm2l5WlccO #health #science,873,294007947,Oxitec,Fri May 06 11:12:48 +0000 2011,False,693550575926022144,1298,Oxford,707,0,91
6,2074,,855,"RT @RT_com: Brazil sends more than 200,000 troops to fight #Zikavirus https://t.co/9omHzY3NKc https://t.co/lsbZ2fRC0P",11,124482045,greciangold,Fri Mar 19 14:53:09 +0000 2010,False,693550573329625088,359,,855,80,5
7,34580,"24/7 WaterWonk. Professor, @OSUCEOAS; Technical Director, @AWRAHQ. Hydrogeologist, Hydrophilanthropist (http://t.co/4399Hn4O) Retweets not endorsements.",3948,RT @NPRHealth Puerto Rico Health Official 'Very Concerned' About Zika's Spread https://t.co/1vek9r5rJh,302,20810335,WaterWired,Fri Feb 13 21:49:27 +0000 2009,False,693550570083368960,8880,"Corvallis, Oregon, USA",3948,0,500
8,63595,Helping families with struggling teens. Addicted to politics and my rescue Persian cat.,1503,RT @ClimateReality: Climate change is helping the spread of diseases like the Zika virus https://t.co/f8oCo6B9Kn #ActOnClimate https://t.co…,17637,16280644,copperbird7,Sun Sep 14 05:41:01 +0000 2008,False,693550559274487808,1702,Southwest ,1503,11,137
9,62871,Exedous 20,575,"RT @WHO: Q: What is #Zika?
A: https://t.co/3Fq6lJSQpz
#ZikaVirus https://t.co/3cUlnQgloR",35,2847901918,WilsonAnene1,Tue Oct 28 08:06:18 +0000 2014,False,693550551976562688,269,"London, England",575,1195,56
10,62871,Exedous 20,575,RT @Amaka_Ekwo: Zika virus disease: Questions and answers https://t.co/I3Rm9iod16,35,2847901918,WilsonAnene1,Tue Oct 28 08:06:18 +0000 2014,False,693550537426485248,269,"London, England",575,91,56
11,26,College student. Studying agriculture. Loves country and rock music. Cares about animals and the environment. Need to improve third eye energy.,107,Jamaica reports its first case of Zika virus https://t.co/prL1sAtjqp via @usatoday,0,4813688960,daniellemccros2,Mon Jan 25 19:55:30 +0000 2016,False,693550535299854336,22,washington,107,0,1
12,1750,"Open 7 days a week! Roswell Urgent Care is committed to delivering quality care, convenient hours, prompt service and low costs to our patients.",494,All the Way Humans Try to Kill Mosquitos—and Why We're Still Losing https://t.co/1CHx0kLIQl,36,1586675600,RoswellCare,Thu Jul 11 19:53:20 +0000 2013,False,693550521601376256,175,"Roswell, GA",494,0,6
13,62871,Exedous 20,575,RT @FoxNews: Dr. Thomas Frieden on Zika virus: “Pregnant women should not go to a country where Zika is spreading.” #Greta https://t.co/YZc…,35,2847901918,WilsonAnene1,Tue Oct 28 08:06:18 +0000 2014,False,693550510201311232,269,"London, England",575,123,56
14,538278,I am a Medical graduate from Delhi University who  has specialised in Computational Biology from Jawaharlal Nehru University.,783,How Climate Change Could Spread Diseases Like Zika https://t.co/RQRNr7YHaR,13,15936294,animesh1977,Thu Aug 21 20:16:22 +0000 2008,False,693550507328147456,1169,"Bergen, Norway",783,0,172
