,followers_count,text,location,description,statuses_count,screen_name,following,favourites_count,friends_count,created_at,retweet_count,listed_count,user_id,verified,tweet_id
0,1596,A doctor connected to Putnam Hospital Center says local cases will be brought in by humans bitten elsewhere. https://t.co/DgsP2vmqKV,"New City, NY",New City Patch is your source for local news.,12248,NewCityPatch,51,7,51,Tue Apr 06 18:05:54 +0000 2010,0,54,130226736,False,694206616946765824
1,1826,A doctor connected to Putnam Hospital Center says local cases will be brought in by humans bitten elsewhere. https://t.co/vvUwxZZEVo,"Nyack & Piermont, NY",Nyack-Piermont Patch is your source for local news.,13669,NyackPatch,55,0,55,Tue Jun 22 19:44:23 +0000 2010,0,41,158467267,False,694206615101247488
2,714,#FollowForFollow WHO meets to decide if Zika virus is a global emergency: The UN health agency warned las... https://t.co/O3ZOBuhJhk #tfb,Kenya,Mention me after you tap that follow button for an instant followback. :),79137,_Dirty_Water_,114,10,114,Thu Jul 19 21:04:22 +0000 2012,0,35,705784747,False,694206612680998913
3,2033,A doctor connected to Putnam Hospital Center says local cases will be brought in by humans bitten elsewhere. https://t.co/7RXO1EQGww,,"Local news and conversation from Hudson Valley, NY Patches",6231,HVPatch,871,41,871,Tue Jul 10 18:33:10 +0000 2012,0,46,632210824,False,694206612601491461
4,2553,RT @CNN: The #Zika virus could complicate the launch of the Zica hatchback https://t.co/ZrNJpoBv0M via @CNNMoney https://t.co/brEpkmNFyr,En pèlerinage sur terre.,Je revendique le droit de donner mon avis sur tout et n'importe quoi. Ce compte est accessoirement mon mur des lamentations.,63435,PierreChrist_,691,9419,691,Fri Mar 06 13:15:41 +0000 2009,41,66,23061341,False,694206609422172161
5,67,GM Mosquitoes With Possible Link To Zika Virus Awaiting Release In Florida https://t.co/X3y1Qz6bM7,,,33454,racketnews,29,0,29,Wed Jan 27 04:45:13 +0000 2010,0,29,108837407,False,694206608360931328
6,2583,Contracting Zika in Hudson Valley Unlikely: Infectious Disease Specialist https://t.co/R4Xp0sFgDN,Bedford,Bedford-Katonah Patch is your source for local news.,8471,bedkatonahpatch,455,3,455,Fri Mar 05 15:41:16 +0000 2010,0,79,120138344,False,694206607832403968
7,2044,Contracting Zika in Hudson Valley Unlikely: Infectious Disease Specialist https://t.co/tutt2wd7J3,"New Rochelle, NY",New Rochelle Patch is your source for local news.,6909,NewRoPatch,206,0,206,Wed Jun 23 21:03:51 +0000 2010,0,54,158857042,False,694206607014518785
8,98,RT @scicurious: Check out my links from last week! Spiders in hordes. Zika! Bed bugs! A buggy week that... https://t.co/M81MTZOBKh,,Science.,92,wyorgb,191,111,191,Sat Sep 14 20:30:43 +0000 2013,1,31,1864899704,False,694206606884655104
9,342,RT @HelenBranswell: Revision: @WHO is holding a news conference today about the emergency committee meeting on #Zika virus. 18:30 Geneva ti…,,"Journalist, begeistert von Wissenschaft, schreibt außerdem über Medien und Düsseldorf",1526,RainerKurlemann,678,222,678,Tue Oct 22 07:55:27 +0000 2013,9,31,2148562602,False,694206606444208128
10,1826,Contracting Zika in Hudson Valley Unlikely: Infectious Disease Specialist https://t.co/wOyi1b2AQ4,"Nyack & Piermont, NY",Nyack-Piermont Patch is your source for local news.,13669,NyackPatch,55,0,55,Tue Jun 22 19:44:23 +0000 2010,0,41,158467267,False,694206605911416832
